Temperature (K),Chi (Molar)* T
299.99054,1.01056
299.931,1.0079
298.83998,1.00789
297.77979,1.00472
296.85161,1.00649
295.79761,1.00352
294.82616,1.00557
293.79497,1.00211
292.83115,1.00425
291.814,1.00057
290.82257,1.00297
289.81897,0.99901
288.83899,1.00137
287.78548,0.99788
286.85004,0.9996
285.79834,0.99648
284.8255,0.99832
283.81528,0.99542
282.84654,0.99688
281.77881,0.99441
280.84602,0.99449
279.74661,0.99352
278.82475,0.99366
277.61473,0.99191
276.81061,0.99144
275.84158,0.99148
274.79892,0.98555
273.84975,0.98892
272.80775,0.98482
271.8228,0.98725
270.80006,0.98372
269.84789,0.98547
268.79059,0.98261
267.83813,0.98373
266.79506,0.98167
265.85268,0.98227
264.72771,0.97995
263.82562,0.98005
262.67566,0.97796
261.83047,0.97809
260.61739,0.97598
259.82776,0.97607
258.85254,0.97579
257.78893,0.96944
256.84689,0.97302
255.80963,0.96815
254.81699,0.9714
253.80632,0.96566
252.83813,0.96933
251.81969,0.96434
250.8521,0.96757
249.79608,0.96233
248.83213,0.96563
247.80446,0.96046
246.81053,0.96364
245.8054,0.95786
244.83486,0.9616
243.80055,0.95585
242.84411,0.95981
241.81297,0.95386
240.83819,0.95771
239.80851,0.95185
238.83641,0.95577
237.78912,0.94986
236.81773,0.95371
235.78864,0.94782
234.83743,0.95168
233.80688,0.94585
232.84751,0.94982
231.77621,0.9437
230.80769,0.94747
229.78208,0.94165
228.83761,0.94547
227.81863,0.94039
226.81822,0.94377
225.81164,0.93774
224.8428,0.94147
223.78979,0.93604
222.81615,0.93926
221.81622,0.93408
220.84269,0.93731
219.82103,0.9324
218.82336,0.93556
217.81496,0.93031
216.83432,0.93347
215.7957,0.92844
214.81959,0.93142
213.81092,0.92637
212.83177,0.92941
211.81472,0.92454
210.82452,0.92731
209.80004,0.92255
208.8403,0.92514
207.80252,0.92088
206.84528,0.92292
205.79572,0.91901
204.83401,0.92032
203.78233,0.91748
202.84006,0.91811
201.68972,0.91544
200.80697,0.91553
199.8412,0.9149
198.78313,0.90808
197.85788,0.91212
196.78576,0.90714
195.8233,0.9094
194.8055,0.90572
193.84129,0.90728
192.78329,0.9046
191.85082,0.9048
190.58155,0.90178
189.82288,0.90136
188.84298,0.9009
187.79513,0.89424
186.82869,0.89734
185.80856,0.8929
184.84255,0.89486
183.78451,0.89186
182.84839,0.89205
181.85404,0.8909
180.77435,0.88396
179.83379,0.88694
178.80058,0.88268
177.83833,0.88391
176.64482,0.88081
175.83456,0.88035
174.83206,0.87919
173.79533,0.87256
172.85399,0.87502
171.78011,0.87111
170.8506,0.87128
169.83908,0.86954
168.80347,0.86306
167.84773,0.86474
166.7998,0.86111
165.83303,0.86021
164.8428,0.85803
163.81138,0.85166
162.84889,0.8523
161.80264,0.84836
160.84815,0.84636
159.86433,0.84316
158.7956,0.83693
157.85001,0.83537
156.76546,0.83043
155.84074,0.8265
154.84631,0.82125
153.81493,0.81569
152.84025,0.80896
151.84229,0.80113
150.77966,0.79617
149.85276,0.7832
148.62196,0.77016
147.8445,0.75797
146.85675,0.73975
145.78772,0.72917
144.84763,0.70073
143.8196,0.67149
142.81206,0.66535
141.85323,0.6248
140.86121,0.61009
139.80396,0.6051
138.84396,0.59236
137.84633,0.584
136.80372,0.57911
135.84576,0.57197
134.86108,0.56622
133.80933,0.5614
132.84161,0.55688
131.84389,0.5525
130.81076,0.54783
129.85957,0.5449
128.85359,0.54128
127.79461,0.53653
126.85038,0.53453
125.83954,0.53135
124.81441,0.5268
123.84898,0.52522
122.85726,0.5224
121.8158,0.51794
120.84156,0.51645
119.84511,0.51379
118.80273,0.50937
117.85289,0.50528
116.84673,0.50533
115.81487,0.50139
114.82767,0.49954
113.86114,0.49689
112.71353,0.49285
111.84573,0.49083
110.85347,0.48792
109.84975,0.48489
108.80648,0.48014
107.84653,0.47861
106.85921,0.47533
105.81595,0.47074
104.85346,0.46815
103.85203,0.46438
102.85815,0.4603
101.79887,0.4546
100.83377,0.45185
99.8552,0.44704
98.7359,0.44032
97.85781,0.43564
96.84126,0.42912
95.85093,0.42212
94.81161,0.41284
93.85856,0.40591
92.867,0.39632
91.86966,0.38577
90.67279,0.38074
89.72784,0.36077
88.83323,0.35222
87.86216,0.34125
86.80665,0.32835
85.86156,0.31947
84.84604,0.30961
83.85273,0.30053
82.80676,0.29059
81.8667,0.28431
80.83963,0.27743
79.84852,0.27112
78.80561,0.26446
77.8538,0.2602
76.84677,0.2556
75.84629,0.25128
74.84992,0.24741
73.79791,0.24271
72.84518,0.24036
71.85783,0.23742
70.82491,0.23452
69.66754,0.23123
68.85304,0.22951
67.8729,0.22739
66.8368,0.22513
65.86485,0.22315
64.73843,0.22066
63.85811,0.21933
62.84941,0.21762
61.87584,0.21599
60.84281,0.21425
59.85769,0.21269
58.81208,0.21045
57.85374,0.20965
56.86706,0.20815
55.84754,0.20664
54.86792,0.20524
53.76426,0.20107
52.86818,0.20233
51.83201,0.2008
50.74826,0.19916
49.73741,0.1976
48.85781,0.19626
47.679,0.19418
46.8595,0.19358
45.86484,0.19162
44.84538,0.18994
43.86169,0.18834
42.86883,0.18675
41.73582,0.17748
40.68315,0.18314
39.72812,0.18155
38.86674,0.17992
37.85168,0.17814
36.85792,0.17636
35.84967,0.17456
34.83773,0.1727
33.64734,0.17041
32.87118,0.16912
31.8605,0.16718
30.85583,0.16528
29.8535,0.16337
28.85044,0.16141
27.71407,0.15958
26.72246,0.15758
25.8683,0.15545
24.86011,0.15331
23.80959,0.15104
22.84936,0.14909
5.00122,0.08444
5.17261,0.08588
6.13248,0.09362
7.14024,0.10028
8.12334,0.10573
9.12664,0.11059
10.14974,0.11491
11.13472,0.11866
12.12328,0.12194
13.13753,0.12507
14.12655,0.12799
15.15269,0.13101
16.14015,0.13361
17.14205,0.13613
18.13493,0.13856
19.13379,0.14091
20.12631,0.1432
21.14179,0.14549
22.1486,0.14775
23.14566,0.14988
24.13519,0.15198
25.12758,0.15407
26.12707,0.1561
27.13371,0.1582
28.13725,0.16018
29.13064,0.16212
30.13313,0.16403
31.14122,0.16599
32.1457,0.16792
33.13472,0.16973
34.12924,0.17155
35.13659,0.17336
36.13096,0.17514
37.17146,0.17692
38.1256,0.17867
39.14851,0.18045
40.12632,0.18215
41.15058,0.18392
42.15172,0.17494
43.14601,0.18732
44.14819,0.18903
45.1451,0.19075
46.15238,0.19248
47.19733,0.19412
48.12785,0.19579
49.13342,0.19854
50.1318,0.19915
51.13387,0.20077
52.13648,0.20231
53.12301,0.20377
54.12901,0.20516
55.19497,0.20646
56.13154,0.20777
57.12683,0.20895
58.13662,0.21008
59.12866,0.21113
60.13264,0.21215
61.12259,0.2131
62.19244,0.21407
63.13477,0.21505
64.14025,0.21601
65.1441,0.21698
66.1429,0.21787
67.13764,0.21873
68.11979,0.21959
69.17891,0.22023
70.1336,0.22106
71.1216,0.2217
72.13156,0.22232
73.12658,0.22291
74.14037,0.22348
75.18711,0.22395
76.13058,0.22465
77.12819,0.22533
78.12915,0.22605
79.1406,0.22696
80.14272,0.22797
81.20097,0.22916
82.14488,0.23058
83.12742,0.23209
84.13462,0.23387
85.13101,0.23588
86.19727,0.23824
87.13003,0.24071
88.13329,0.2435
89.13861,0.24664
90.1386,0.25008
91.19534,0.25429
92.12958,0.25854
93.12729,0.2634
94.13631,0.26899
95.14104,0.27539
96.20852,0.28352
97.13866,0.29131
98.13905,0.30022
99.12006,0.31028
100.26339,0.3235
101.13265,0.33494
102.12864,0.34819
103.12807,0.36261
104.12713,0.37748
105.18319,0.39415
106.12502,0.40793
107.12787,0.42134
108.13093,0.43417
109.20383,0.4475
110.14054,0.45196
111.12992,0.45602
112.125,0.4601
113.19188,0.46448
114.13923,0.46836
115.13744,0.47783
116.14622,0.48202
117.20602,0.48642
118.11881,0.4902
119.12564,0.49438
120.12252,0.50304
121.1926,0.50752
122.1293,0.51144
123.14541,0.51569
124.1416,0.51987
125.21465,0.52436
126.12663,0.52818
127.13382,0.53241
128.19328,0.53608
129.13405,0.53946
130.12857,0.54313
131.14891,0.54699
132.1945,0.5509
133.12546,0.55498
134.12547,0.55951
135.18846,0.56506
136.1454,0.57031
137.13595,0.57627
138.12058,0.58322
139.19469,0.59322
140.1319,0.60071
141.14439,0.61134
142.19589,0.62875
143.12173,0.6423
144.11904,0.66665
145.1912,0.71688
146.14581,0.7359
147.14408,0.75343
148.21316,0.77102
149.1216,0.77985
150.12411,0.78995
151.20345,0.79972
152.14272,0.80593
153.14632,0.81226
154.18502,0.81794
155.12294,0.82268
156.13778,0.82721
157.18899,0.8314
158.12917,0.83517
159.35941,0.83913
160.13723,0.8419
161.13777,0.84521
162.18854,0.84759
163.1256,0.85067
164.12741,0.85325
165.20056,0.85469
166.11662,0.85765
167.12439,0.86032
168.19574,0.86106
169.1375,0.86405
170.19586,0.86557
171.13168,0.86804
172.11996,0.8702
173.19003,0.87089
174.12996,0.87366
175.18715,0.87478
176.12992,0.87692
177.15287,0.87869
178.21999,0.87907
179.118,0.8816
180.19341,0.88286
181.13595,0.88481
182.14215,0.88652
183.20821,0.88658
184.14497,0.8892
185.20529,0.8896
186.12491,0.89186
187.31766,0.89335
188.12442,0.89468
189.12559,0.89628
190.19805,0.89613
191.14537,0.89874
192.20856,0.89919
193.11938,0.90137
194.21084,0.90243
195.12457,0.904
196.11719,0.90533
197.18784,0.905
198.14108,0.90769
199.20395,0.90761
200.132,0.91001
201.18506,0.91013
202.11482,0.91236
203.1835,0.91303
204.12294,0.91493
205.2565,0.91594
206.13645,0.91729
207.14031,0.91855
208.19645,0.91798
209.13129,0.92052
210.19918,0.92031
211.12637,0.92278
212.19873,0.92254
213.13472,0.92498
214.20193,0.92475
215.13187,0.92701
216.20704,0.9269
217.14616,0.92903
218.18926,0.9289
219.12515,0.93115
220.17938,0.93085
221.13646,0.93298
222.20732,0.93259
223.11823,0.9345
224.20744,0.93417
225.13335,0.93667
226.20432,0.93659
227.1388,0.93898
228.21909,0.93849
229.11945,0.9406
230.19082,0.94064
231.11929,0.94307
232.20467,0.94257
233.12534,0.94499
234.21071,0.94462
235.1256,0.94708
236.20805,0.94653
237.11689,0.94901
238.1862,0.94852
239.13777,0.95112
240.19904,0.95056
241.1432,0.95304
242.20544,0.95257
243.12284,0.95495
244.19408,0.9545
245.1282,0.95692
246.19956,0.95646
247.32906,0.95883
248.12496,0.95995
249.1806,0.96043
250.12074,0.96193
251.20129,0.96177
252.13046,0.96379
253.19338,0.96324
254.34196,0.96549
255.12455,0.96668
256.19901,0.96713
257.12843,0.96878
258.19806,0.9683
259.13449,0.97052
260.17752,0.97005
261.25529,0.97216
262.13806,0.97342
263.24039,0.97355
264.13043,0.97536
265.19197,0.97482
266.26233,0.97695
267.12271,0.97824
268.214,0.97837
269.12096,0.98011
270.19469,0.97984
271.17612,0.98163
